id	language_name
14275	English
1024	English
17207	English
17207	Pусский
13701	English
14819	English
32631	English
32631	Français
32631	Deutsch
11777	English
11777	Deutsch
628	English
628	Français
87729	English
18713	English
6280	English
9061	English
37108	English
6071	English
11	English
9587	English
9587	Deutsch
9587	Français
19101	English
19101	Français
49980	English
17961	Français
18183	English
18183	Español
4476	
4476	English
11008	English
47504	English
32325	English
32325	Español
43742	English
28313	English
11318	English
3036	English
40490	English
24070	English
8986	English
10510	English
17402	English
38722	English
38722	Español
8438	English
11593	Český
11593	English
11593	Magyar
1945	English
39310	English
109560	English
109560	广州话 / 廣州話
56428	English
63105	English
131957	English
241	English
241	
241	日本語
9058	English
527	English
527	
18220	English
6950	English
6950	한국어/조선말
6950	Français
101	English
63020	English
2307	English
680	English
680	Español
680	Français
41478	English
25296	English
25296	普通话
40156	English
11450	English
30304	
30304	English
30304	日本語
10452	Français
10452	Italiano
12106	English
161495	English
3586	Français
3586	Italiano
3586	Pусский
3586	Español
3586	English
110	Français
108	Français
108	Polski
109	Français
109	Magyar
109	Polski
159185	普通话
36357	English
92769	English
28033	English
22586	English
14334	English
14334	Gaeilge
2636	English
2164	English
2164	Norsk
2164	svenska
11395	English
278	English
9905	English
87078	English
12527	Español
20306	English
36614	English
27993	English
27993	Deutsch
31439	普通话
9067	English
9059	English
193	English
25066	English
46797	English
12122	English
11381	English
32636	English
36141	English
95963	English
1587	English
9271	English
2064	English
19855	English
60855	广州话 / 廣州話
60855	English
236	English
48287	English
3049	English
2759	English
12635	English
12635	Français
12635	Deutsch
12635	Pусский
10497	Français
10497	English
11382	English
9331	English
10731	English
10464	English
10464	Français
34152	English
9495	English
29973	English
888	English
13	English
712	English
16295	English
48992	English
48992	Español
10879	English
10879	Français
10660	English
10714	English
10714	Slovenčina
41647	Deutsch
8587	English
1689	English
11596	English
854	svenska
854	English
9359	English
23333	English
36593	English
12280	English
2788	English
10427	English
11011	English
11011	Latin
49803	English
8987	English
1637	English
15128	English
8831	English
36955	English
36955	Français
36955	العربية
36955	Deutsch
10449	English
10449	Français
10449	Tiếng Việt
10395	English
12160	English
40480	English
52038	English
29444	English
26352	English
39953	English
41580	Français
315	English
22067	English
18242	English
11667	English
11667	日本語
32502	English
267188	
28732	English
75555	English
42981	
278939	English
291731	English
226229	English
203119	English
172923	
316098	
8011	English
171857	
2654	English
18069	English
18069	Français
19092	English
2758	English
38129	English
10436	English
10436	Italiano
13595	English
46094	English
9409	English
11853	English
11853	Pусский
16771	Español
16771	English
46924	English
46924	
11041	English
306	English
14522	English
26203	English
178	English
19819	English
57834	Français
57834	English
4722	English
18215	English
1607	English
1607	Italiano
26391	English
117553	English
6075	English
6075	Español
11310	English
11310	Italiano
11310	Pусский
18658	English
9350	English
9612	English
2124	Český
2124	English
26261	English
26261	Magyar
19176	English
49299	English
11566	English
9571	English
9739	English
24257	English
34444	English
34444	Deutsch
26141	English
26141	
10997	普通话
50463	English
10443	English
20239	English
16297	English
18551	English
25440	English
9024	English
37233	English
1634	English
13815	English
5503	English
35588	English
35588	Français
2087	English
41579	English
18620	English
41006	English
4916	English
2019	English
31642	English
31642	Tiếng Việt
9255	English
26271	English
10612	English
2259	Español
2259	English
16097	English
11934	English
106143	English
12475	English
9386	English
7984	English
59930	English
15765	English
31643	English
31643	Français
6	English
329	English
329	Español
10909	English
507	English
507	Français
34024	English
29918	English
9593	English
42580	English
22317	English
22317	Deutsch
1413	English
12121	English
2246	English
10502	English
10440	English
9516	English
2320	English
5879	日本語
83718	English
11971	English
2625	English
31911	English
788	English
21450	English
11231	English
41588	English
10447	English
31586	English
9300	English
9559	English
9800	English
713	English
713	
8291	English
8291	Français
18133	English
25557	English
22588	English
10872	English
1245	English
11858	English
11858	Español
7007	日本語
7007	English
10467	English
5550	English
5550	日本語
8005	English
2088	English
10412	Português
10412	Deutsch
10412	English
10412	日本語
10412	Tiếng Việt
47889	English
14534	English
14534	Español
56583	English
41878	Français
41878	Deutsch
41878	Español
424	Deutsch
424	Polski
424	עִבְרִית
424	English
35233	English
14291	English
103413	English
11236	English
11592	English
8850	English
10445	English
695	English
43535	English
12519	English
23210	English
858	English
867	English
78	English
78	Deutsch
78	广州话 / 廣州話
78	日本語
78	Magyar
13203	English
10442	Pусский
10442	English
11074	English
33367	English
9607	English
17585	English
9057	English
20967	Français
20967	English
10635	English
9479	English
10057	English
11969	English
11969	Latin
11969	Español
41590	English
319	English
319	Italiano
26408	English
15139	Dansk
15139	English
15139	Français
15139	Deutsch
15139	Español
161158	English
218473	
85247	English
11446	English
51980	Français
24405	English
11655	English
11655	Español
11800	English
8223	Español
14587	English
14587	हिन्दी
31504	English
41653	svenska
53185	English
95743	English
23637	Italiano
17600	English
10897	English
349394	
21352	English
68806	Italiano
37345	English
32562	English
47507	Français
25403	العربية
25403	English
25403	Italiano
25403	普通话
124304	
9066	Italiano
9066	Deutsch
9066	English
9066	Magyar
771	English
251	English
812	English
280	English
280	Español
581	English
80350	English
268	English
268	Français
274	English
408	English
10020	Français
10020	English
10895	English
114	English
114	Italiano
114	日本語
41043	Français
41043	Pусский
576	English
576	Deutsch
576	Español
15477	English
59146	普通话
124472	
30528	English
7300	English
10824	English
261246	English
275	English
25059	
11827	English
11827	Magyar
8766	English
23570	English
47333	English
47333	Français
54850	
51242	Italiano
10112	English
4307	Español
46029	English
32308	English
88893	Italiano
88893	English
52873	Français
123505	English
340210	English
44281	العربية
28121	English
12520	English
1592	English
1592	Español
166901	English
36447	English
19042	English
38884	Català
38884	English
38884	Español
47449	English
36259	English
41852	English
40926	English
9099	English
2021	English
61752	English
10988	English
11479	Français
398959	Deutsch
287305	
339428	Deutsch
12652	Français
10684	English
954	English
954	Français
954	Český
68445	Deutsch
68445	Íslenska
68445	日本語
68445	English
18989	English
10801	Deutsch
54285	한국어/조선말
8840	English
278978	Deutsch
124625	English
124625	Deutsch
11107	English
11107	Italiano
16417	Afrikaans
16417	English
70934	
10363	English
10363	Français
10363	Italiano
161070	English
10539	English
10543	English
18414	English
47502	English
11902	English
11902	Français
11902	Deutsch
11902	Pусский
11902	Srpski
27098	Deutsch
27098	svenska
27098	English
25087	English
5801	বাংলা
896	বাংলা
3065	English
318177	English
2300	English
8069	English
288173	Español
288173	English
187851	
27768	
221917	English
8072	Français
35797	English
35797	Français
88030	English
88030	Português
185191	
83857	English
33245	English
33245	Pусский
124460	English
27281	English
27281	Tiếng Việt
105045	Deutsch
40001	English
29621	English
117730	עִבְרִית
20762	Italiano
20762	English
37144	English
48260	English
12656	English
38867	English
277270	
25969	English
44103	Nederlands
44103	Français
44103	Latin
44103	Español
753	English
43634	English
43634	Español
9103	English
90214	English
29649	English
10990	English
8866	English
12233	English
23449	English
36355	English
37667	English
90148	English
90148	Español
922	English
922	Español
11876	Français
11876	Italiano
52633	English
62364	Español
11687	Français
9304	English
73183	
131232	Italiano
9100	English
20759	English
46063	English
32513	English
40651	English
40651	Deutsch
36915	English
40507	Español
40507	English
9802	English
25697	English
21588	English
21588	Italiano
664	English
11867	English
47119	Français
314352	Deutsch
9323	日本語
10280	English
10535	English
124613	English
532	English
26744	English
26744	Français
16299	English
10547	English
245268	English
935	English
55613	Deutsch
55613	English
41007	English
35645	English
110465	English
255546	English
255546	Português
40751	广州话 / 廣州話
40751	普通话
275096	
85778	English
11101	Deutsch
11101	Pусский
9826	English
9879	English
63564	English
22621	English
7095	English
26890	English
46732	English
124633	English
124633	Srpski
202425	Français
196940	
77771	العربية
77771	Français
77771	Wolof
181083	Français
41225	English
41225	Français
41225	Deutsch
41225	Italiano
188589	
87190	English
627	English
32872	English
32872	Français
602	English
14553	English
9566	English
10545	Latin
10545	English
9894	English
11543	English
9268	English
52059	
9327	English
123763	Español
81949	English
81949	Română
42005	Magyar
124306	
183955	
44535	English
44495	English
78285	Français
11228	English
10779	English
26748	English
26748	Español
38223	English
9294	English
49963	English
11363	English
11363	Français
1645	English
31546	English
77056	Français
36344	English
18550	English
11511	English
172198	Magyar
34170	English
281085	English
109478	English
124645	English
12606	English
69895	
35206	Français
151489	Cymraeg
4837	Français
4837	English
12632	Deutsch
9098	Deutsch
282919	
124614	English
18975	English
18975	Italiano
11962	English
2925	English
28628	English
3595	English
9308	English
92381	English
18555	English
12123	English
10830	English
3573	English
10546	English
10546	Deutsch
18862	English
31417	Français
9431	English
9431	Español
124619	
297645	普通话
48144	普通话
46986	English
46986	Deutsch
46986	日本語
144982	English
47907	English
10061	English
36266	Tiếng Việt
549	English
549	Español
10478	English
66634	English
116690	日本語
213917	Français
145925	Italiano
100914	
238	English
238	Italiano
238	Latin
159	Deutsch
11134	广州话 / 廣州話
11134	English
11134	Bahasa melayu
11134	ภาษาไทย
88224	English
132641	日本語
42758	English
9303	English
23945	English
37820	English
22479	English
9054	English
241058	English
11985	普通话
10232	Deutsch
59569	English
410921	
38955	广州话 / 廣州話
110513	English
114089	
11015	English
9306	English
12559	English
12559	Français
12559	Español
58770	English
124851	
3587	English
10723	English
56077	English
19004	English
101230	Nederlands
101230	English
253632	
10987	English
44705	English
44705	Español
20318	English
20318	Deutsch
20318	
43596	Deutsch
79782	Polski
26933	Français
27854	Español
27854	English
981	English
872	English
2769	English
2769	Français
2769	Deutsch
13320	English
164	English
164	Português
426	English
567	English
3078	English
13528	English
28288	English
28288	Français
28288	Italiano
213	English
284	English
239	English
4808	English
4808	Français
4808	Deutsch
4808	Italiano
289	Deutsch
289	Français
289	Italiano
289	English
963	English
11113	English
6620	English
6620	Italiano
804	English
804	Italiano
26531	English
909	English
630	English
770	English
31044	English
599	English
15	English
62	English
62	Pусский
121357	English
121357	Deutsch
705	English
705	Français
22490	English
22490	Français
223	English
223	Français
25670	Nederlands
25670	English
25670	Latviešu
303	English
4174	English
8356	English
8356	Français
8356	Italiano
8356	Português
381	Français
381	English
20758	Italiano
20758	English
29376	Français
29376	English
1859	English
18299	English
18299	Français
17281	English
17281	Français
64382	English
10907	English
32093	English
32093	Español
1939	English
22292	English
3598	English
3598	普通话
3598	Español
3080	English
3080	Italiano
198	English
13562	English
13562	Magyar
1712	English
1712	Español
220	English
3529	English
3085	English
2897	English
2897	Español
2897	Français
1585	English
3083	English
900	English
43795	English
85638	English
50001	English
43905	English
22688	English
23114	English
26378	English
40206	English
22356	English
260	English
43488	English
43488	Italiano
22613	English
22613	Español
10331	English
488	English
488	Deutsch
488	Kiswahili
22733	Italiano
22733	English
261	English
57575	English
57575	Magyar
32574	English
22657	English
22657	Español
76464	English
22649	English
176841	English
125587	
39448	广州话 / 廣州話
39448	English
52855	English
52855	Polski
39940	English
172868	
85328	English
124632	
11076	English
63945	English
58985	English
890	Deutsch
10861	English
1770	English
44465	English
2033	English
18203	English
9333	English
47260	English
9400	English
9401	English
9401	Tiếng Việt
12241	English
12241	Español
25739	
161806	
11306	English
9625	English
10680	English
6346	English
6346	Polski
18660	English
18660	Deutsch
35115	Español
35115	English
14821	English
14136	Español
14136	English
14136	广州话 / 廣州話
10869	English
22660	English
19186	English
31102	English
6878	English
15944	English
18444	English
18444	Italiano
20723	English
173	English
864	English
864	Français
864	Deutsch
864	Pусский
24795	English
24795	Français
24795	Italiano
24795	Español
11224	English
81310	English
15947	English
15947	Português
15947	Español
9078	English
29682	English
8367	English
433	English
11360	English
11114	English
12335	English
12092	English
10948	English
11229	English
15121	English
15121	Français
15121	Italiano
562	English
562	Deutsch
562	Italiano
10163	English
48862	English
117036	English
47199	English
11159	English
9591	English
30500	English
41843	English
41843	Deutsch
55058	English
10938	English
11412	English
10586	English
42314	English
27845	Italiano
27845	English
108365	English
108365	Français
23223	English
49471	English
38153	English
38153	Magyar
25147	Latin
25147	English
9716	English
43777	Español
454	English
10218	English
819	English
38191	English
56830	
11238	English
27256	English
31530	English
31530	Français
66473	English
28120	English
1834	English
26282	日本語
26282	广州话 / 廣州話
26282	English
37218	English
252	English
252	Français
252	Deutsch
116356	Français
16372	English
11561	English
11561	
11302	
11302	English
623	English
623	Italiano
623	Pусский
583	English
12614	English
12614	Français
21711	English
11575	English
11575	Italiano
475	English
11331	English
521	English
21202	Italiano
88	English
500	English
792	English
792	Tiếng Việt
8491	English
402	English
10537	English
11386	English
9504	English
15764	Český
15764	English
15764	Français
15764	Deutsch
15764	Polski
15764	Pусский
601	English
67365	English
25842	English
2119	English
744	English
136311	English
221	English
702	English
25750	English
17642	English
427043	Deutsch
146341	български език
146341	English
9305	Français
37616	English
11112	English
21612	Italiano
21612	English
141210	
102461	Français
36998	Français
200383	English
200383	Français
116844	English
1630	English
26626	English
124837	
11816	English
11843	English
10379	English
2756	English
790	English
1103	English
11298	English
4480	Italiano
4480	Français
4481	Français
49688	Español
10765	English
762	Français
762	Latin
762	English
44497	English
85588	
278621	English
99479	
55049	Français
124829	
79306	English
356054	
10548	English
531	English
104931	Pусский
104931	Français
104931	Deutsch
104931	English
104931	Italiano
4483	Français
18919	Český
18919	Latin
31556	English
26167	English
26174	English
26174	Italiano
61461	Italiano
117500	Français
218713	
217802	
127973	English
659	Deutsch
659	עִבְרִית
659	Italiano
659	Polski
659	Pусский
30892	Latin
30892	English
30892	Français
30892	Italiano
30892	Deutsch
86369	
8074	Français
124676	
38554	English
49763	English
41326	English
36555	English
10608	English
11216	Italiano
7452	English
64567	English
64567	Français
892	Français
1600	Français
1600	Italiano
1600	Polski
26561	English
26561	Italiano
975	English
975	Deutsch
975	Latin
18129	English
54405	English
150823	English
409	Deutsch
409	Italiano
409	العربية
409	English
38251	ελληνικά
38251	Italiano
38251	Español
10161	English
1412	English
41768	English
10409	Español
10409	English
14285	English
2469	Español
10174	English
10174	Français
31225	English
510	English
11455	English
1891	English
2493	English
85	English
85	Español
85	Deutsch
85	עִבְרִית
85	العربية
85	
68	English
679	English
429	Italiano
13446	English
389	English
947	العربية
947	English
947	Türkçe
185	English
595	English
28	
28	English
28	Français
28	Tiếng Việt
335	English
1892	English
144	English
144	Français
144	Deutsch
1092	English
1092	Pусский
1092	Deutsch
769	Italiano
769	English
348	English
348	Español
766	English
175	English
175	Français
175	Italiano
11645	日本語
10835	广州话 / 廣州話
10835	日本語
10835	普通话
539	English
525	English
240	English
240	Italiano
240	Latin
240	Español
600	English
600	Tiếng Việt
530	English
10705	English
10705	Français
279	English
279	Deutsch
279	Italiano
279	Latin
3109	English
3109	Gaeilge
311	English
311	Français
311	Italiano
1578	English
703	English
703	Deutsch
9549	English
9549	Pусский
1398	Pусский
387	Deutsch
387	English
387	Français
9277	English
343	English
37291	English
490	svenska
11235	English
218	English
763	English
9665	English
18971	English
696	English
379	
379	Italiano
379	
379	English
207	English
37247	English
1480	English
1480	Español
9322	English
9322	Français
9322	Italiano
826	日本語
826	ภาษาไทย
826	English
422	Deutsch
422	English
422	Français
422	Italiano
829	Español
829	广州话 / 廣州話
829	English
828	English
828	Français
828	हिन्दी
828	Pусский
3090	English
9964	English
3063	English
13667	English
13667	Magyar
694	English
235	English
832	Deutsch
765	English
5925	English
5925	Deutsch
5925	Français
5925	Pусский
11778	English
11778	Français
11778	Pусский
11778	Tiếng Việt
4485	English
4485	Français
4485	Italiano
137	English
137	Français
137	Italiano
33	English
982	English
8428	English
212	English
212	Deutsch
105	English
1633	English
11202	English
1554	English
1554	Italiano
149	日本語
8009	English
903	English
11673	Français
3034	English
3034	Deutsch
339	English
339	suomi
339	Français
339	Deutsch
339	Italiano
10404	普通话
914	English
914	Esperanto
756	English
288	English
910	English
2640	English
2640	Italiano
16633	English
665	English
11031	English
11314	English
15143	English
89	Deutsch
89	ελληνικά
89	English
10322	English
783	English
783	हिन्दी
10644	English
11257	English
11257	Italiano
14370	English
12104	English
625	Português
625	English
625	Français
625	Magyar
625	
8816	svenska
830	English
2323	English
983	English
642	English
642	Español
655	English
10341	English
10341	Français
10341	Deutsch
10341	Italiano
10341	日本語
639	English
266022	English
168450	English
30180	English
31388	English
41801	English
66034	English
348138	English
96288	
61536	English
18762	English
331367	
8077	English
814	English
41671	English
41671	Português
27214	English
52263	English
33519	English
16235	English
11449	English
41848	English
41848	Italiano
25944	English
24913	English
49126	English
32076	English
32076	Español
571	English
8851	English
37843	English
32146	English
30346	English
6114	Latin
6114	Română
6114	български език
6114	ελληνικά
6114	English
229	English
13549	English
9529	English
1598	English
11349	English
7340	English
6217	English
377	English
653	
28198	Italiano
794	English
794	Italiano
794	Latin
31640	English
8744	English
25189	English
145	English
2212	English
199	English
7863	English
7863	
12498	English
9279	English
53234	English
53234	Français
53234	Italiano
17204	English
21539	English
21539	Español
85589	Norsk
12709	Français
20539	English
11674	English
199512	
64900	English
64900	Français
64900	Pусский
1573	English
1573	Español
152	English
174	English
172	English
154	English
157	English
157	Pусский
168	English
168	suomi
364	English
11967	English
9086	English
621	English
9037	English
10173	English
55687	English
168535	English
8845	English
46681	English
46681	Español
578	English
579	English
17692	English
17795	English
75	English
75	Français
13891	English
9390	English
9390	Polski
378	English
10896	English
2322	English
2322	普通话
2322	Pусский
41240	English
26949	English
26949	Italiano
9819	English
9819	Español
49799	English
31908	English
46027	English
3179	Český
3179	English
1802	Français
1802	Deutsch
4232	English
9361	English
9361	Français
2928	English
2928	Português
30285	English
10549	English
58102	English
58102	Gaeilge
18451	English
27265	English
49935	Français
8818	English
8818	Español
36758	Italiano
36758	English
36040	English
74239	English
9415	English
55146	
303693	English
303693	Deutsch
12145	English
42424	English
34314	English
2892	English
9404	English
9404	Pусский
9404	Український
9404	普通话
9404	广州话 / 廣州話
85242	
9622	English
8860	English
197537	
66597	English
14832	English
9619	English
40506	English
31000	English
31000	Español
4104	English
4104	Português
26306	English
203829	
43775	Español
14908	English
784	Český
784	Pусский
784	Slovenčina
12489	English
168283	
16448	English
55936	Pусский
17894	English
28059	English
58911	English
17949	English
1968	English
61563	English
66	English
66	Español
20735	English
20735	Français
11419	English
333165	
25796	English
25796	Français
638	English
25624	English
9366	日本語
9366	English
9366	Italiano
60083	Français
21915	English
90928	English
50091	
18420	English
18420	Español
19952	English
9446	English
28005	English
9403	English
27322	English
10003	English
10003	Pусский
9311	English
9311	
11844	English
884	English
884	svenska
49806	English
1624	English
88423	English
16052	Español
16052	English
4477	English
24662	English
24662	Deutsch
18423	English
76996	English
6499	English
50512	English
9405	English
12723	English
9360	English
9434	English
118991	English
21626	English
13982	Español
13982	English
93946	English
77223	
31465	English
12793	English
102878	English
105763	Pусский
105763	Français
105763	ქართული
9611	English
9611	Français
9611	Magyar
47694	普通话
10357	Deutsch
10357	Español
10357	English
9977	English
816	English
2163	English
124680	English
124680	日本語
124680	
124680	
16399	English
124843	English
31017	English
24645	English
49478	English
49478	普通话
12499	English
18	English
18	svenska
18	Deutsch
68545	English
1811	English
109614	English
60082	English
105045	Deutsch
53023	Français
64802	English
64802	Pусский
11239	日本語
50850	English
15321	English
15321	Cymraeg
2058	English
9450	English
125021	
330	English
38523	Français
16375	English
16375	Français
16375	Italiano
16375	日本語
33660	English
59232	English
45671	English
17770	English
17770	Français
15170	English
1701	English
201445	
26422	广州话 / 廣州話
26422	English
26422	Français
26422	Italiano
26422	日本語
26422	普通话
124642	Français
1639	English
1639	Português
49235	
106129	English
291634	
107743	English
415	English
47686	English
65889	English
11103	English
11970	English
11970	Español
11970	ελληνικά
34941	English
407992	English
8874	English
8874	Français
8874	Italiano
17991	日本語
11956	Français
266	English
266	Français
266	Deutsch
266	Italiano
754	English
754	Latin
37567	English
43771	فارسی
124834	Français
249358	English
111367	Français
607	English
607	Español
18080	English
38225	English
17834	English
686	English
65046	English
4421	English
9387	English
10603	English
10603	Español
2142	English
8413	English
8413	Latin
10336	English
20737	English
9413	English
9413	Français
14585	English
18519	Český
18519	English
49462	English
8834	English
9458	English
8854	English
38295	English
22073	English
37244	English
4961	English
4961	Italiano
9416	English
26180	English
17832	English
9772	English
9772	Pусский
6072	English
6072	Español
1669	English
1669	Pусский
468	English
32519	English
108401	English
108401	Español
10806	English
9433	English
9433	Français
9433	Pусский
6623	English
6623	Pусский
6623	Srpski
6623	Bosanski
6623	Hrvatski
2118	English
978	English
9437	English
9437	普通话
29461	Italiano
29461	English
56651	English
10351	English
66588	English
2649	广州话 / 廣州話
2649	Deutsch
2649	English
14289	English
10155	English
75250	English
20457	English
18355	Français
33657	English
55306	English
68924	English
36434	English
2255	English
28353	English
9427	English
172545	English
17589	English
3597	English
1813	English
1813	Français
1813	Deutsch
1813	Italiano
1813	普通话
1813	Español
36797	English
12628	English
12628	Français
12628	Pусский
33344	English
25099	English
45019	Français
45019	English
63437	English
62422	English
782	English
782	Esperanto
29911	English
9827	English
1959	English
251481	English
8067	English
125052	English
45153	English
10871	English
14398	English
10890	English
10890	Pусский
10890	Polski
99002	Français
1281	English
32332	English
9770	English
12616	English
34838	English
34838	Français
34838	Deutsch
34838	Español
14905	Bosanski
14905	Srpski
14905	English
14583	Español
14583	English
11975	English
4995	English
9281	Deutsch
9281	English
45928	English
563	English
61337	English
19931	广州话 / 廣州話
19931	English
19931	Français
19931	普通话
31535	English
10215	English
9823	English
37165	English
45609	English
45609	Italiano
38904	English
45565	
9407	English
9407	普通话
4824	English
4824	Pусский
9444	English
9444	Pусский
9444	Français
9414	English
8078	English
29938	English
11831	English
11831	Español
2895	English
39177	Français
19601	English
124606	English
42832	Français
22797	Gaeilge
22797	English
2639	English
9574	English
10371	English
489	English
167738	English
293820	
9714	Polski
9714	English
102406	
170430	
8197	English
6283	English
279698	
49728	English
64562	
4233	English
191874	English
10217	English
10217	Español
438108	English
597	English
597	Français
597	Deutsch
597	svenska
597	Italiano
597	Pусский
714	Deutsch
714	English
714	Dansk
714	普通话
714	广州话 / 廣州話
52537	English
12799	Français
62394	English
9922	English
9922	Français
547	English
25994	English
184	English
9746	English
9746	普通话
9746	
9438	English
115	English
115	עִבְרִית
115	Español
115	Deutsch
26941	English
26941	Français
27103	Français
9410	English
32302	English
32302	Français
32302	Deutsch
216794	English
88863	English
154821	
41417	English
12538	English
12538	Português
586	shqip
586	English
2666	English
46338	English
54007	English
11258	English
9490	English
9490	Türkçe
9411	English
25719	English
9033	English
9033	Deutsch
11220	普通话
11220	广州话 / 廣州話
21253	English
21253	Português
6116	English
9457	한국어/조선말
9457	English
281289	
43911	English
39424	English
44361	Pусский
11702	广州话 / 廣州話
11702	Český
11702	English
2923	Français
2923	English
2923	Italiano
12238	English
11568	Pусский
11568	English
41577	English
41577	日本語
66894	English
11003	English
10153	English
49645	English
47112	English
47112	
47112	Español
102732	
30949	English
30949	Deutsch
30949	Pусский
2898	English
9558	English
9558	Español
83593	
320011	English
26269	English
11808	English
6970	English
47452	English
18205	Español
36943	English
21736	English
17941	English
10668	English
9313	English
42807	English
617	English
36568	English
36568	Español
37272	English
5910	日本語
9440	English
53092	English
32911	English
44308	English
44308	Français
124821	English
32456	English
93350	English
62695	
32144	English
17127	English
40688	English
17133	English
19848	English
17644	English
1774	English
30265	English
30265	普通话
2157	English
70581	日本語
70581	English
8838	English
29193	English
795	English
795	Polski
16980	English
27472	Español
27472	English
47881	English
9469	English
12488	English
98499	English
81367	English
81367	Français
267	Español
16148	English
21252	English
73135	English
9449	English
6264	English
90414	English
188870	English
215373	English
78149	English
78149	Pусский
15513	English
31220	English
13907	English
29825	English
29825	Italiano
10622	普通话
10622	广州话 / 廣州話
10622	English
30020	فارسی
17139	Nederlands
17139	English
17139	Français
17139	Deutsch
34582	Bokmål
10216	English
9771	English
9771	Italiano
24560	English
76330	English
76330	Français
76330	Italiano
9448	English
38618	English
18316	English
78373	English
77514	Український
49474	English
4415	English
4415	Français
4415	Español
39467	English
55561	English
8656	English
209345	
58680	English
35161	English
35796	English
18937	English
929	English
929	Français
929	日本語
929	Pусский
929	Español
9452	English
1878	English
9844	English
40505	English
14342	English
9715	English
26610	Norsk
26610	svenska
20064	English
40961	English
1965	العربية
1965	English
312	Deutsch
6068	English
6068	Deutsch
6068	ภาษาไทย
15037	English
50043	English
37636	English
17044	English
60951	English
21334	فارسی
416437	
32284	English
51955	English
37410	English
47481	Français
53765	English
10674	English
10674	普通话
136134	English
846	English
12655	English
3050	English
1389	English
11020	English
